Vardas         Pavarde        Pazymys1  Pazymys2  Pazymys3  Pazymys4  Pazymys5  Pazymys6  Pazymys7  Pazymys8  Pazymys9  Pazymys10 Egzaminas 
Vardas44       Pavarde44      1         6         9         6         3         3         7         4         2         6         9         
Vardas45       Pavarde45      2         10        1         1         10        5         2         2         10        2         6         
Vardas46       Pavarde46      1         6         9         9         1         3         9         8         9         10        6         
Vardas47       Pavarde47      4         3         7         1         9         6         3         10        6         7         10        
Vardas48       Pavarde48      5         7         9         4         6         6         9         3         10        4         7         
Vardas49       Pavarde49      9         1         10        1         10        5         9         7         8         1         6         
Vardas50       Pavarde50      9         5         5         1         6         9         7         8         1         9         2         
Vardas51       Pavarde51      1         2         10        5         2         8         10        9         7         1         3         
Vardas52       Pavarde52      10        5         4         5         2         8         4         2         5         7         8         
Vardas53       Pavarde53      8         9         4         2         9         3         2         2         9         1         8         
Vardas54       Pavarde54      8         4         5         7         10        1         3         7         10        2         4         
Vardas55       Pavarde55      1         7         2         6         5         3         4         8         8         8         6         
Vardas56       Pavarde56      1         1         5         2         2         3         3         6         8         1         3         
Vardas57       Pavarde57      2         8         8         4         8         5         9         1         3         10        10        
Vardas58       Pavarde58      6         5         4         8         3         2         8         10        5         1         6         
Vardas59       Pavarde59      1         7         6         3         5         9         8         6         10        2         6         
Vardas60       Pavarde60      4         1         6         6         3         7         1         10        4         3         7         
Vardas61       Pavarde61      9         4         1         3         7         8         4         3         4         6         10        
Vardas62       Pavarde62      5         2         10        7         9         4         5         10        6         8         10        
Vardas63       Pavarde63      1         7         4         7         5         4         9         3         10        9         4         
Vardas64       Pavarde64      4         7         6         3         10        1         3         1         1         10        4         
Vardas65       Pavarde65      6         4         2         9         2         2         8         2         1         1         2         
Vardas66       Pavarde66      10        6         6         1         8         4         5         2         6         5         9         
Vardas67       Pavarde67      4         6         5         4         8         3         7         6         7         8         6         
Vardas68       Pavarde68      1         8         9         3         9         3         6         5         5         8         5         
Vardas69       Pavarde69      5         2         9         6         1         6         1         2         6         1         1         
Vardas70       Pavarde70      3         5         1         2         1         5         4         2         9         2         7         
Vardas71       Pavarde71      3         2         4         10        6         7         1         10        10        4         7         
Vardas72       Pavarde72      7         8         5         2         7         10        3         8         5         4         6         
Vardas73       Pavarde73      8         4         1         2         1         9         1         6         1         3         6         
Vardas74       Pavarde74      7         5         10        6         4         6         2         1         6         4         10        
Vardas75       Pavarde75      8         6         7         4         10        2         7         3         2         10        8         
Vardas76       Pavarde76      5         10        1         1         3         10        8         1         5         5         8         
Vardas77       Pavarde77      6         5         2         7         8         7         9         4         8         4         4         
Vardas78       Pavarde78      6         6         7         8         4         3         9         8         1         5         6         
Vardas79       Pavarde79      6         2         7         4         3         5         1         4         5         8         3         
Vardas80       Pavarde80      4         9         7         9         4         3         3         5         1         5         5         
Vardas81       Pavarde81      6         3         7         1         8         10        7         2         5         9         10        
Vardas82       Pavarde82      10        5         2         7         6         7         10        7         8         4         3         
Vardas83       Pavarde83      9         6         9         10        5         8         9         1         7         7         9         
Vardas84       Pavarde84      6         1         3         1         8         10        10        2         2         7         8         
Vardas85       Pavarde85      10        4         8         6         8         9         2         4         2         8         9         
Vardas86       Pavarde86      10        4         5         9         1         1         8         8         1         3         10        
Vardas87       Pavarde87      7         6         4         9         4         5         5         2         9         10        1         
Vardas88       Pavarde88      5         7         8         10        4         7         2         8         10        9         2         
Vardas89       Pavarde89      9         7         2         2         5         4         7         4         6         10        3         
Vardas90       Pavarde90      3         8         8         6         10        2         6         5         6         8         9         
Vardas91       Pavarde91      2         4         1         3         7         7         6         3         1         10        10        
Vardas92       Pavarde92      5         3         10        8         4         3         10        8         2         4         8         
Vardas93       Pavarde93      4         10        2         9         2         8         5         9         4         4         2         
Vardas94       Pavarde94      8         9         10        3         1         3         9         10        10        9         7         
Vardas95       Pavarde95      3         10        5         9         2         4         3         9         10        5         10        
Vardas96       Pavarde96      4         5         5         7         2         2         4         9         5         6         5         
Vardas97       Pavarde97      4         10        6         2         7         3         3         6         9         3         7         
Vardas98       Pavarde98      6         6         5         10        7         9         3         10        7         10        2         
Vardas99       Pavarde99      9         3         4         4         2         10        3         8         5         4         7         
Vardas100      Pavarde100     8         4         6         4         7         6         5         10        4         9         1         
